Key,Smiles,Exp_HOMO,Exp_LUMO,Calc_HOMO,Calc_LUMO,,,,,,,,
38,O=S(C1=CC=C(C#CC2=CC3=C(C#CC4=CC=C(SC)S4)C5=CC=CC6=C(C#CC7=CC=C(S(=O)(C)=O)S7)C=C8C(C#CC9=CC=C(SC)S9)=C%10C=CC=C2C%10=C3C8=C56)S1)(C)=O,-0.199551651905479,-0.13450442835618,-0.18632170813274,-0.115333020412931,,,,,-5.43,-3.66,-5.07,-3.13832681845628
39,C[Si](C)(C)C#CC1=C2C=CC=C(C2=C34)C(C#CC5=CC=C(C6=C7C(C(N6C)=O)=C(C8=CC=CS8)N(C)C7=O)S5)=CC3=C(C#C[Si](C)(C)C)C9=CC=CC%10=C(C#CC%11=CC=C(C%12=C%13C(C(N%12C)=O)=C(C%14=CC=CS%14)N(C)C%13=O)S%11)C=C1C4=C9%10,-0.198081658152953,-0.133769431479916,-0.187068722207931,-0.106038954834442,,,,,-5.39,-3.64,-5.09032700000001,-2.885426
40,O=C(N(C)C(C1=CC=CS1)=C23)C2=C(C4=CC=C(C#CC5=C6C7=C8C(C(C#C[Si](C)(C)C)=C6)=CC=CC8=C(C#CC9=CC=C(C%10=C%11C(C(N%10C)=O)=C(C%12=CC=CS%12)N(C)C%11=O)S9)C%13=CC(C#C[Si](C)(C)C)=C%14C(C5=CC=C%14)=C7%13)S4)N(C)C3=O,-0.198449156591085,-0.137811914299364,-0.187061975982295,-0.110042673570073,,,,,-5.4,-3.75,-5.09014342845424,-2.99437119051526
TBT,C12=C(C=CC=C2)C3=C4C5=C1C(C(C=CC=C6)=C6S7)=C7C(C8=C9C%10=C(C=CC=C%10)S8)=C5C%11=C9C(C=CC=C%12)=C%12C(C%13=C%14SC%15=C%13C=CC=C%15)=C%11C4=C%14C%16=C3C%17=C(C=CC=C%17)S%16,-0.198449156591085,-0.106574547058175,-0.20,-0.09,,,,,-5.4,-2.9,-5.42,-2.52
TFT,C12=C(C=CC=C2)C3=C4C5=C1C(C(C=CC=C6)=C6O7)=C7C(C8=C9C%10=C(C=CC=C%10)O8)=C5C%11=C9C(C=CC=C%12)=C%12C(C%13=C%14OC%15=C%13C=CC=C%15)=C%11C4=C%14C%16=C3C%17=C(C=CC=C%17)O%16,-0.194774172209768,-0.0955495939142259,-0.20,-0.09,,,,,-5.3,-2.6,-5.43,-2.45
cHBC-Cl8,ClC1=C2C(C3=C(C4=C5C6=C78)C7=C2C9=C(C=CC=C9)C8=C%10C(C=CC=C%10)=C6C%11=C(C(Cl)=C(Cl)C(Cl)=C%11Cl)C5=C%12C(C=CC=C%12)=C4C%13=C3C=CC=C%13)=C(Cl)C(Cl)=C1Cl,-0.227849031641616,-0.113924515820808,-0.22,-0.10,,,,,-6.2,-3.1,-5.91,-2.80
cHBC-Cl12,ClC1=CC2=C(C3=C4C(Cl)=C(Cl)C(Cl)=C3)C5=C6C(C(C(C=CC=C7)=C7C6=C2C(Cl)=C1Cl)=C8C(C=C(Cl)C(Cl)=C8Cl)=C9C%10=C%11C(Cl)=C(Cl)C(Cl)=C%10)=C9C%12=C%11C%13=CC=CC=C%13C4=C%125,-0.231524016022932,-0.124949468964757,-0.22,-0.11,,,,,-6.3,-3.4,-6.03,-2.92
cHBC-F12,FC1=CC2=C(C3=C4C(F)=C(F)C(F)=C3)C5=C6C(C(C(C=CC=C7)=C7C6=C2C(F)=C1F)=C8C(C=C(F)C(F)=C8F)=C9C%10=C%11C(F)=C(F)C(F)=C%10)=C9C%12=C%11C%13=C(C=CC=C%13)C4=C%125,-0.220499062878983,-0.106574547058175,-0.22,-0.10,,,,,-6,-2.9,-5.97,-2.86
cHBC-F8,FC1=C(F)C(F)=C(F)C2=C1C3=C(C=CC=C4)C4=C(C5=C6C=CC=C5)C7=C3C(C2=C8C(C=CC=C8)=C9C%10=C%11C=CC=C%10)=C9C%12=C%11C%13=C(C(F)=C(F)C(F)=C%13F)C6=C%127,-0.209474109735034,-0.0992245782955423,-0.22,-0.10,,,,,-5.7,-2.7,-5.89,-2.69
cHBC-F8-Cl4,ClC1=CC2=C3C4=C(C(F)=C(F)C(F)=C4F)C5=C6C(C=CC(Cl)=C6)=C7C8=C(C=C(Cl)C=C8)C9=C(C7=C5C3=C%10C(C%11=C%12C=C(Cl)C=C%11)=C2C=C1)C%10=C%12C%13=C(F)C(F)=C(F)C(F)=C%139,-0.220499062878983,-0.110249531439491,-0.22,-0.11,,,,,-6,-3,-6.02,-2.88
